# List of cataclysmic variables
# P. Mroz & P. Szkody
# 23 Mar 2020
# name ra dec l b
ZTF18abindhq 287.092661 -14.499060  21.785719 -10.239595
ZTF18abindju 284.936187 -14.086022  21.240660  -8.178514
ZTF18abinfxp 282.838823 -19.564960  15.371332  -8.765769
ZTF18abiwzlg 358.004942  44.849487 111.990044 -16.756174
ZTF18abixdpa 282.592934  74.934046 106.093579  26.192382
ZTF18abiyndl 284.292387 -18.130198  17.284503  -9.383523
ZTF18abjcuhv  28.642447  55.840431 131.764655  -5.944875
ZTF18abjhbyv 294.319466   7.127417  44.571445  -6.827630
ZTF18abjhdua 299.654520  16.691226  55.537666  -6.624456
ZTF18abjkhgu 286.317063  47.392915  77.843821  17.414008
ZTF18abjmgew  25.469652  54.295446 130.321563  -7.851000
ZTF18abjmxql 354.681425  57.288855 113.199627  -4.202527
ZTF18abjriks   1.105492  59.372224 116.966982  -2.953921
ZTF18abjtach 325.887371  46.206159  92.399277  -5.229061
ZTF18abjvmhv 273.863917  41.934822  69.332869  24.094730
ZTF18abjwsby 314.815433  43.018673  84.566361  -1.908552
ZTF18abjzbhm 241.079241  16.263429  29.541610  44.182713
ZTF18abkhfwd 289.276503  12.261862  46.748574  -0.020500
ZTF18abkhgfg 291.641083  16.038979  51.160201  -0.263552
ZTF18abkhmbf 295.117082  36.856476  70.950100   7.025868
ZTF18abkhych 295.680643  30.838536  65.903870   3.679397
ZTF18abkibwv  25.497846  57.122369 129.780198  -5.075673
ZTF18abkikam 256.185470  26.341249  47.723944  34.081478
ZTF18abklaip 237.626584  -0.238162   7.995420  39.047806
ZTF18abkwvnr 306.671467  29.953170  70.232501  -4.798898
ZTF18abllusk 350.576254  57.336084 111.100845  -3.473923
ZTF18ablmpfr 281.143606  13.121602  43.905058   7.438968
ZTF18ablomyc 277.613588   5.987020  35.900860   7.382258
ZTF18ablosld 310.126713  33.072144  74.505976  -5.327702
ZTF18ablqcev  27.486692  53.583917 131.645634  -8.295039
ZTF18ablrvfh 281.814031  -6.222509  26.916597  -1.907237
ZTF18abltirl 271.734179   6.176302  33.418132  12.696673
ZTF18ablvaya   3.651078  50.544435 116.966582 -11.900197
ZTF18ablvjse 344.135117  35.710684  98.122233 -21.565569
ZTF18ablvntg 336.779867  55.633323 103.506625  -1.698527
ZTF18ablvskr 292.486226  10.723236  46.875857  -3.519610
ZTF18ablwmaq  41.431668  63.280182 135.369620   3.202338
ZTF18ablxhlc 297.242957  58.439129  91.129653  15.832219
ZTF18ablxnta 285.191792  17.259088  49.384025   5.779464
ZTF18abmarba 320.287185  30.570633  78.245122 -13.521027
ZTF18abmfxml 297.678215   8.429247  47.348205  -9.109652
ZTF18abmhjpr 301.031829  12.438434  52.542070  -9.952794
ZTF18abmirqc 289.775387  -2.877708  33.518778  -7.465136
ZTF18abmjmmu   3.258817  58.171055 117.871379  -4.322867
ZTF18abmnbne 334.381940  46.992483  97.544547  -8.151457
ZTF18abmnmuw 341.964401  36.722030  96.983897 -19.846296
ZTF18abmnmvz 343.460533  33.509000  96.477540 -23.251967
